timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741313217733,92,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2711,text,false,,462,357,2518,2518,http://localhost:9090/transaction/getStockTransactions,92,0,0
1741313216090,1736,20 Get Stock Transactions Request,200,OK,User Thread Group 1-3159,text,false,,462,356,2516,2516,http://localhost:9090/transaction/getStockTransactions,1736,0,0
1741313216128,1698,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1888,text,false,,462,356,2516,2516,http://localhost:9090/transaction/getStockTransactions,1698,0,0
1741313217736,75,20 Get Stock Transactions Request,200,OK,User Thread Group 1-3188,text,false,,462,356,2521,2521,http://localhost:9090/transaction/getStockTransactions,75,0,0
1741313217737,64,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2880,text,false,,462,357,2526,2526,http://localhost:9090/transaction/getStockTransactions,64,0,0
1741313216510,1276,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2896,text,false,,462,353,2523,2523,http://localhost:9090/transaction/getStockTransactions,1276,0,0
1741313216376,1410,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2892,text,false,,462,353,2523,2523,http://localhost:9090/transaction/getStockTransactions,1410,0,0
1741313216648,1184,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1320,text,false,,462,358,2511,2511,http://localhost:9090/transaction/getStockTransactions,1184,0,0
1741313217704,96,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2380,text,false,,462,357,2526,2526,http://localhost:9090/transaction/getStockTransactions,96,0,0
1741313216510,1322,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2310,text,false,,462,356,2511,2511,http://localhost:9090/transaction/getStockTransactions,1322,0,0
1741313216066,1767,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1938,text,false,,462,358,2511,2511,http://localhost:9090/transaction/getStockTransactions,1767,0,0
1741313216602,1231,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2987,text,false,,462,354,2508,2508,http://localhost:9090/transaction/getStockTransactions,1231,0,0
1741313216070,1763,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2123,text,false,,462,356,2508,2508,http://localhost:9090/transaction/getStockTransactions,1763,0,0
